-0.0735466 -0.041191
-0.0278867 -0.0576695
0.0176634 -0.0746157
0.0626544 -0.0949889
0.106446 -0.117892
0.150449 -0.141388
0.192924 -0.167724
0.234466 -0.196196
0.271184 -0.223485
0.315827 -0.25808
0.356241 -0.290235
0.396455 -0.322893
0.436267 -0.356479
0.480077 -0.393935
0.515986 -0.424955
0.555455 -0.460456
0.594897 -0.495596
0.63436 -0.531594
0.674073 -0.567277
0.713751 -0.603224
0.753265 -0.639613
0.793321 -0.675718
0.833184 -0.711214
0.870698 -0.744804
0.908985 -0.781668
0.946606 -0.817272
0.985002 -0.84943
1.02204 -0.884928
1.06034 -0.91889
1.09534 -0.952607
1.13169 -0.987522
1.16751 -1.02358
1.20709 -1.05446
1.24369 -1.08785
1.28149 -1.12239
1.31846 -1.15805
1.35634 -1.19392
1.39109 -1.23003
1.42623 -1.26673
1.46089 -1.30467
1.49381 -1.34427
1.52701 -1.38399
1.55997 -1.42386
1.59148 -1.46472
1.62234 -1.50619
1.6513 -1.54889
1.67865 -1.59265
1.70562 -1.63682
1.73068 -1.68114
1.75432 -1.72653
1.77522 -1.77349
1.79424 -1.82096
1.81068 -1.86936
1.8247 -1.91857
1.83469 -1.96822
1.84046 -2.01859
1.8428 -2.06959
1.84224 -2.1211
1.83678 -2.17212
1.82666 -2.22238
1.81323 -2.27192
1.7962 -2.32085
1.77481 -2.36805
1.75749 -2.39967
1.73247 -2.43653
1.70409 -2.47161
1.67341 -2.50398
1.63863 -2.53628
1.60108 -2.56786
1.52955 -2.64173
1.48606 -2.67372
1.44093 -2.70275
1.39467 -2.73013
1.34725 -2.75558
1.29931 -2.77988
1.25035 -2.80128
1.19953 -2.81954
1.14815 -2.83624
1.1277 -2.84311
1.05526 -2.86409
1.0056 -2.87601
0.95709 -2.8865
0.907013 -2.89638
0.856032 -2.90561
0.80562 -2.91392
0.754729 -2.92136
0.705238 -2.92756
0.655236 -2.93287
0.604878 -2.93736
0.554087 -2.9412
0.501664 -2.94476
0.450654 -2.94811
0.399223 -2.9514
0.347455 -2.95453
0.296051 -2.95749
0.243715 -2.96041
0.193486 -2.96332
0.144071 -2.96622
0.0959073 -2.96873
0.0465625 -2.97098
